,Arquivo,Número de variáveis,Quantidade de produtos,Algoritmo,Tempo de execução,É ótimo,Melhor Valor,Elementos melhor valor,BitMask melhor valor,Lower bound residual
201,instancias/bqp250-8.txt,250,3265,B&B FIFO,60.0030882358551,False,inf,[],,-162141.0
202,instancias/bqp250-8.txt,250,3265,B&B LIFO,60.0006787776947,False,-4822.0,"[250, 245, 244, 243, 242, 239, 238, 235, 233, 232, 231, 230, 228, 225, 224, 223, 221, 219, 218, 217, 214]",0b1000011110011001011110100111010111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-4255.0
203,instancias/bqp250-8.txt,250,3265,B&B LC,60.002227783203125,False,inf,[],,-160769.0
204,instancias/nl01-48.txt,30,318,Brute force,60.000088691711426,False,-63.0,"[30, 20, 17]",0b100000000010010000000000000000,94.0
205,instancias/nl01-48.txt,30,318,B&B FIFO,60.000060081481934,False,inf,[],,283.0
206,instancias/nl01-48.txt,30,318,B&B LIFO,1.3092730045318604,True,-63.0,"[30, 20, 17]",0b100000000010010000000000000000,-61.0
207,instancias/nl01-48.txt,30,318,B&B LC,1.3517329692840576,True,-63.0,"[30, 20, 17]",0b100000000010010000000000000000,-63.0
208,instancias/bqp250-3.txt,250,3313,Brute force,60.00043177604675,False,-1766.0,"[248, 247, 245, 242, 240, 239, 237, 235]",0b11010010110101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-333.0
209,instancias/bqp250-3.txt,250,3313,B&B FIFO,60.000080823898315,False,inf,[],,-161259.0
210,instancias/bqp250-3.txt,250,3313,B&B LIFO,60.000155210494995,False,-2834.0,"[247, 242, 240, 239, 237, 231, 230, 228, 226, 223, 221, 216]",0b1000010110100000110101001010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2840.0
211,instancias/bqp250-3.txt,250,3313,B&B LC,60.00288152694702,False,inf,[],,-162373.0
212,instancias/nl01-42.txt,30,359,Brute force,60.000079870224,False,-62.0,"[26, 20]",0b10000010000000000000000000,867.0
213,instancias/nl01-42.txt,30,359,B&B FIFO,60.00011229515076,False,inf,[],,966.0
214,instancias/nl01-42.txt,30,359,B&B LIFO,5.45564341545105,True,-62.0,"[26, 20]",0b10000010000000000000000000,-57.0
215,instancias/nl01-42.txt,30,359,B&B LC,5.647127389907837,True,-62.0,"[18, 7]",0b100000000001000000,-62.0
